N,Iterative,Dynamic Programming,Recursive
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000001,0.000001
11,0.000000,0.000000,0.000000
12,0.000001,0.000001,0.000001
13,0.000000,0.000000,0.000002
14,0.000000,0.000000,0.000003
15,0.000000,0.000000,0.000004
16,0.000000,0.000001,0.000007
17,0.000000,0.000001,0.000010
18,0.000000,0.000001,0.000016
19,0.000000,0.000001,0.000027
20,0.000000,0.000000,0.000041
21,0.000000,0.000001,0.000082
22,0.000000,0.000000,0.000107
23,0.000000,0.000000,0.000176
24,0.000000,0.000000,0.000272
25,0.000000,0.000000,0.000462
26,0.000001,0.000000,0.000711
27,0.000000,0.000000,0.001253
28,0.000000,0.000001,0.001949
29,0.000000,0.000001,0.003142
30,0.000000,0.000000,0.005177
31,0.000000,0.000000,0.008055
32,0.000000,0.000000,0.012996
33,0.000000,0.000000,0.021087
34,0.000000,0.000000,0.033891
35,0.000000,0.000000,0.055152
36,0.000000,0.000000,0.088811
37,0.000000,0.000000,0.142981
38,0.000000,0.000001,0.231695
39,0.000000,0.000001,0.376343
40,0.000000,0.000001,0.605019
41,0.000000,0.000000,0.974322
42,0.000000,0.000001,1.582003
43,0.000001,0.000000,2.547759
44,0.000000,0.000001,4.174136
45,0.000000,0.000000,6.729923
