N,Iterative,Dynamic Programming,Recursive
1,0.000000,0.000000,0.000000
21,0.000000,0.000001,0.000067
41,0.000000,0.000001,0.978138
61,0.000000,0.000001,-
81,0.000000,0.000000,-
101,0.000000,0.000001,-
121,0.000000,0.000001,-
141,0.000000,0.000002,-
161,0.000000,0.000002,-
181,0.000000,0.000002,-
201,0.000000,0.000002,-
221,0.000001,0.000002,-
241,0.000000,0.000002,-
261,0.000001,0.000003,-
281,0.000001,0.000003,-
301,0.000000,0.000003,-
321,0.000001,0.000003,-
341,0.000001,0.000004,-
361,0.000001,0.000004,-
381,0.000001,0.000004,-
401,0.000001,0.000004,-
421,0.000001,0.000005,-
441,0.000001,0.000004,-
461,0.000001,0.000004,-
481,0.000001,0.000005,-
501,0.000001,0.000006,-
521,0.000001,0.000006,-
541,0.000001,0.000005,-
561,0.000001,0.000006,-
581,0.000002,0.000007,-
601,0.000001,0.000007,-
621,0.000002,0.000008,-
641,0.000001,0.000012,-
661,0.000001,0.000008,-
681,0.000001,0.000009,-
701,0.000002,0.000009,-
721,0.000002,0.000009,-
741,0.000001,0.000009,-
761,0.000001,0.000009,-
781,0.000002,0.000009,-
801,0.000002,0.000012,-
821,0.000002,0.000011,-
841,0.000002,0.000010,-
861,0.000001,0.000011,-
881,0.000002,0.000011,-
901,0.000002,0.000011,-
921,0.000002,0.000012,-
941,0.000003,0.000012,-
961,0.000002,0.000012,-
981,0.000002,0.000012,-
