N,Iterative,Dynamic Programming,Recursive
1,0.000001,0.000001,0.000000
2,0.000002,0.000002,0.000001
3,0.000002,0.000002,0.000001
4,0.000002,0.000003,0.000002
5,0.000002,0.000003,0.000002
6,0.000002,0.000003,0.000003
7,0.000002,0.000004,0.000005
8,0.000002,0.000004,0.000009
9,0.000002,0.000004,0.000014
10,0.000002,0.000005,0.000023
11,0.000003,0.000005,0.000035
12,0.000003,0.000005,0.000057
13,0.000003,0.000006,0.000090
14,0.000003,0.000007,0.000157
15,0.000003,0.000008,0.000234
16,0.000003,0.000007,0.000384
17,0.000003,0.000008,0.000622
18,0.000003,0.000008,0.001007
19,0.000003,0.000009,0.001686
20,0.000003,0.000009,0.002606
21,0.000007,0.000015,0.004513
22,0.000003,0.000010,0.007052
23,0.000004,0.000011,0.011383
24,0.000008,0.000011,0.018522
25,0.000004,0.000012,0.031362
26,0.000004,0.000013,0.047020
27,0.000004,0.000012,0.079212
28,0.000004,0.000012,0.128395
29,0.000004,0.000013,0.212467
30,0.000005,0.000014,0.350651
31,0.000005,0.000015,0.566731
32,0.000005,0.000014,1.001424
33,0.000005,0.000015,1.551866
34,0.000005,0.000015,2.301936
35,0.000004,0.000015,3.705233
36,0.000006,0.000018,5.993946
37,0.000007,0.000088,10.302657
38,0.000005,0.000016,15.877804
39,0.000005,0.000016,25.063929
40,0.000005,0.000016,40.027437
